after_sequence,taker_id,maker_id,price,quantity,taker_side
2671,ORD002671,ORD002669,101.25,47,BUY
2718,ORD002718,ORD002714,99.44,37,SELL
2833,ORD002833,ORD002831,99.62,36,SELL
2845,ORD002845,ORD002844,101.10,7,BUY
2851,ORD002851,ORD002848,100.17,18,SELL
2981,ORD002981,ORD002980,100.08,94,BUY
3071,ORD003071,ORD003070,98.57,46,SELL
3103,ORD003103,ORD003102,99.82,5,BUY
3143,ORD003143,ORD003142,101.09,9,BUY
3178,ORD003178,ORD003177,99.26,91,SELL
3257,ORD003257,ORD003255,100.14,36,SELL
3278,ORD003278,ORD003277,101.10,58,BUY
3469,ORD003469,ORD003467,99.01,53,SELL
3526,ORD003526,ORD003525,99.75,39,BUY
3940,ORD003940,ORD003938,100.21,1,BUY
3985,ORD003985,ORD003984,100.23,40,SELL
4081,ORD004081,ORD004080,99.95,9,BUY
4133,ORD004133,ORD004132,100.09,15,SELL
4157,ORD004157,ORD004154,100.23,13,BUY
4276,ORD004276,ORD004274,99.98,82,BUY
4299,ORD004299,ORD004294,99.96,12,BUY
4301,ORD004301,ORD004294,99.96,16,BUY
4332,ORD004332,ORD004331,100.22,8,SELL
4345,ORD004345,ORD004343,99.55,1,BUY
4467,ORD004467,ORD004466,99.60,53,BUY
4564,ORD004564,ORD004563,100.33,9,SELL
4637,ORD004637,ORD004636,100.25,23,SELL
4644,ORD004644,ORD004643,100.25,74,SELL
4697,ORD004697,ORD004696,100.25,1,SELL
4732,ORD004732,ORD004719,98.43,74,SELL
4766,ORD004766,ORD004765,99.99,74,BUY
4784,ORD004784,ORD004782,100.47,62,BUY
4870,ORD004870,ORD004869,99.88,6,SELL
4975,ORD004975,ORD004970,100.36,20,SELL
4977,ORD004977,ORD004974,99.61,70,SELL
5001,ORD005001,ORD005000,100.47,17,SELL
5019,ORD005019,ORD005018,101.96,26,BUY
5023,ORD005023,ORD005022,99.69,3,BUY
5026,ORD005026,ORD005023,100.43,12,SELL
5055,ORD005055,ORD005054,100.03,34,SELL
5065,ORD005065,ORD005064,99.53,12,SELL
5101,ORD005101,ORD005098,100.49,7,SELL
5114,ORD005114,ORD005111,100.49,60,SELL
5130,ORD005130,ORD005129,101.78,51,BUY
5149,ORD005149,ORD005148,101.25,48,BUY
5262,ORD005262,ORD005257,99.66,27,BUY
5278,ORD005278,ORD005269,100.24,54,SELL
5326,ORD005326,ORD005324,100.30,66,SELL
5443,ORD005443,ORD005442,99.77,26,BUY
5508,ORD005508,ORD005506,100.11,49,BUY
5567,ORD005567,ORD005566,99.92,32,BUY
5580,ORD005580,ORD005579,99.52,57,BUY
5606,ORD005606,ORD005595,99.80,5,BUY
5606,ORD005606,ORD005604,101.66,2,BUY
5759,ORD005759,ORD005755,100.37,33,SELL
5769,ORD005769,ORD005763,101.56,54,BUY
5769,ORD005769,ORD005766,101.62,30,BUY
5788,ORD005788,ORD005787,99.92,20,BUY
5812,ORD005812,ORD005810,100.28,24,SELL
5880,ORD005880,ORD005879,99.79,45,BUY
5978,ORD005978,ORD005977,99.89,28,BUY
6061,ORD006061,ORD006059,100.20,5,BUY
6127,ORD006127,ORD006126,100.00,27,BUY
6144,ORD006144,ORD006136,100.04,21,BUY
6152,ORD006152,ORD006149,100.16,30,BUY
6227,ORD006227,ORD006226,99.73,41,SELL
6262,ORD006262,ORD006259,99.64,7,SELL
6383,ORD006383,ORD006381,99.83,8,BUY
6491,ORD006491,ORD006486,98.46,72,SELL
6589,ORD006589,ORD006587,100.44,25,BUY
6652,ORD006652,ORD006650,100.23,79,BUY
6738,ORD006738,ORD006737,100.40,42,SELL
6823,ORD006823,ORD006819,99.59,21,BUY
6828,ORD006828,ORD006819,99.59,12,BUY
6828,ORD006828,ORD006818,99.66,10,BUY
6828,ORD006828,ORD006817,99.75,6,BUY
6975,ORD006975,ORD006972,99.94,61,BUY
6999,ORD006999,ORD006997,100.01,21,SELL
7032,ORD007032,ORD007031,99.78,7,BUY
7034,ORD007034,ORD007031,99.78,11,BUY
7035,ORD007035,ORD007034,99.88,44,SELL
7041,ORD007041,ORD007040,100.22,48,BUY
7133,ORD007133,ORD007126,101.20,31,BUY
7251,ORD007251,ORD007250,100.10,47,SELL
7295,ORD007295,ORD007294,99.96,15,SELL
7656,ORD007656,ORD007655,100.48,36,SELL
7707,ORD007707,ORD007706,100.01,27,SELL
7832,ORD007832,ORD007831,100.20,51,SELL
8158,ORD008158,ORD008157,99.97,11,SELL
8210,ORD008210,ORD008208,100.07,14,BUY
8404,ORD008404,ORD008400,100.29,27,BUY
8454,ORD008454,ORD008451,100.35,56,SELL
8771,ORD008771,ORD008764,99.58,26,BUY
8801,ORD008801,ORD008800,100.33,75,SELL
8811,ORD008811,ORD008810,100.34,35,BUY
8870,ORD008870,ORD008863,100.44,51,SELL
8991,ORD008991,ORD008989,99.52,46,SELL
8998,ORD008998,ORD008997,99.88,72,SELL
9297,ORD009297,ORD009296,100.28,8,SELL
9463,ORD009463,ORD009458,100.43,14,SELL
9570,ORD009570,ORD009569,99.98,14,BUY
9571,ORD009571,ORD009569,99.98,22,BUY
9642,ORD009642,ORD009639,99.84,6,BUY
9696,ORD009696,ORD009689,100.15,56,SELL
9826,ORD009826,ORD009825,98.35,3,SELL
9861,ORD009861,ORD009860,99.92,54,BUY
9949,ORD009949,ORD009941,98.83,63,SELL
10032,ORD010032,ORD010026,100.49,41,SELL
10037,ORD010037,ORD010036,98.59,20,SELL
10187,ORD010187,ORD010186,99.53,48,BUY
10215,ORD010215,ORD010214,100.08,42,BUY
10402,ORD010402,ORD010400,98.36,33,SELL
10433,ORD010433,ORD010432,99.24,32,SELL
10557,ORD010557,ORD010556,101.58,10,BUY
10642,ORD010642,ORD010639,100.10,31,BUY
10682,ORD010682,ORD010681,99.80,18,SELL
10690,ORD010690,ORD010689,99.53,10,BUY
10738,ORD010738,ORD010737,98.38,17,SELL
10824,ORD010824,ORD010822,99.57,63,SELL
10866,ORD010866,ORD010865,100.45,43,SELL
10873,ORD010873,ORD010872,98.35,87,SELL
10948,ORD010948,ORD010946,99.98,83,SELL
10986,ORD010986,ORD010984,101.27,71,BUY
10987,ORD010987,ORD010983,101.90,4,BUY
11288,ORD011288,ORD011286,99.74,49,BUY
11289,ORD011289,ORD011286,99.74,14,BUY
11301,ORD011301,ORD011300,99.54,18,BUY
11425,ORD011425,ORD011424,100.10,1,SELL
11496,ORD011496,ORD011495,99.58,30,BUY
11499,ORD011499,ORD011495,99.58,33,BUY
11499,ORD011499,ORD011498,99.75,16,BUY
11520,ORD011520,ORD011519,100.24,19,SELL
11521,ORD011521,ORD011519,100.24,18,SELL
11581,ORD011581,ORD011578,99.14,1,SELL
11627,ORD011627,ORD011625,100.31,70,SELL
11637,ORD011637,ORD011635,100.36,23,SELL
11649,ORD011649,ORD011648,99.74,9,SELL
11655,ORD011655,ORD011650,100.48,13,SELL
11694,ORD011694,ORD011692,99.98,14,BUY
11736,ORD011736,ORD011735,98.63,19,SELL
11749,ORD011749,ORD011746,100.31,4,BUY
11749,ORD011749,ORD011748,101.90,54,BUY
11821,ORD011821,ORD011820,99.56,6,BUY
11823,ORD011823,ORD011820,99.56,61,BUY
11858,ORD011858,ORD011857,99.64,6,BUY
11878,ORD011878,ORD011876,99.51,35,BUY
11891,ORD011891,ORD011890,98.32,11,SELL
11899,ORD011899,ORD011898,99.90,29,BUY
11975,ORD011975,ORD011972,101.67,74,BUY
12015,ORD012015,ORD012014,100.17,58,BUY
12099,ORD012099,ORD012095,99.55,25,SELL
12124,ORD012124,ORD012122,99.71,55,SELL
12155,ORD012155,ORD012152,100.19,13,BUY
12155,ORD012155,ORD012146,100.32,40,BUY
12184,ORD012184,ORD012181,99.92,4,SELL
12229,ORD012229,ORD012228,100.40,9,SELL
12350,ORD012350,ORD012349,98.82,46,SELL
12352,ORD012352,ORD012349,98.82,17,SELL
12377,ORD012377,ORD012376,100.15,16,SELL
12458,ORD012458,ORD012457,99.66,16,BUY
12519,ORD012519,ORD012518,101.45,75,BUY
12548,ORD012548,ORD012544,99.77,74,BUY
12548,ORD012548,ORD012547,100.26,26,BUY
12595,ORD012595,ORD012588,99.93,11,BUY
12596,ORD012596,ORD012588,99.93,23,BUY
12600,ORD012600,ORD012596,100.50,14,SELL
12600,ORD012600,ORD012591,99.70,43,SELL
12744,ORD012744,ORD012743,99.75,13,SELL
12899,ORD012899,ORD012897,99.70,1,BUY
12953,ORD012953,ORD012951,99.92,5,BUY
12965,ORD012965,ORD012963,99.61,17,BUY
12977,ORD012977,ORD012976,100.17,32,SELL
13045,ORD013045,ORD013044,99.76,15,BUY
13107,ORD013107,ORD013105,99.82,76,BUY
13134,ORD013134,ORD013133,99.54,58,BUY
13145,ORD013145,ORD013144,99.76,83,SELL
13145,ORD013145,ORD013143,99.46,9,SELL
13152,ORD013152,ORD013151,100.44,48,SELL
13152,ORD013152,ORD013150,99.73,26,SELL
13175,ORD013175,ORD013164,100.06,14,SELL
13251,ORD013251,ORD013245,99.65,61,BUY
13253,ORD013253,ORD013245,99.65,20,BUY
13305,ORD013305,ORD013303,100.09,51,BUY
13384,ORD013384,ORD013382,99.30,14,SELL
13418,ORD013418,ORD013416,99.79,36,BUY
13548,ORD013548,ORD013546,100.19,14,SELL
13559,ORD013559,ORD013558,101.76,4,BUY
13617,ORD013617,ORD013615,98.04,26,SELL
13653,ORD013653,ORD013650,100.27,33,SELL
13876,ORD013876,ORD013874,98.08,38,SELL
14028,ORD014028,ORD014025,99.53,7,BUY
14050,ORD014050,ORD014047,99.65,86,BUY
14060,ORD014060,ORD014053,100.14,58,SELL
14062,ORD014062,ORD014060,99.73,7,BUY
14127,ORD014127,ORD014125,99.23,12,SELL
14137,ORD014137,ORD014136,99.59,84,SELL
14164,ORD014164,ORD014162,100.31,21,SELL
14164,ORD014164,ORD014163,99.66,19,SELL
14220,ORD014220,ORD014219,100.25,57,SELL
14307,ORD014307,ORD014303,99.80,38,BUY
14307,ORD014307,ORD014304,100.75,13,BUY
14307,ORD014307,ORD014306,101.46,8,BUY
14323,ORD014323,ORD014319,100.59,37,BUY
14333,ORD014333,ORD014332,100.41,17,SELL
14337,ORD014337,ORD014336,100.47,52,SELL
14378,ORD014378,ORD014376,99.58,8,BUY
14379,ORD014379,ORD014376,99.58,5,BUY
14467,ORD014467,ORD014466,101.26,19,BUY
14533,ORD014533,ORD014532,99.74,40,SELL
14712,ORD014712,ORD014707,100.14,2,BUY
14712,ORD014712,ORD014711,100.28,7,BUY
14803,ORD014803,ORD014802,98.42,18,SELL
14898,ORD014898,ORD014896,99.61,62,BUY
14965,ORD014965,ORD014963,100.13,26,SELL
14965,ORD014965,ORD014964,99.67,57,SELL
14971,ORD014971,ORD014970,100.21,12,SELL
15062,ORD015062,ORD015060,99.99,46,BUY
15069,ORD015069,ORD015068,99.75,59,BUY
15180,ORD015180,ORD015179,100.46,70,SELL
15220,ORD015220,ORD015215,99.01,6,SELL
15307,ORD015307,ORD015306,100.47,7,SELL
15387,ORD015387,ORD015386,98.20,5,SELL
15408,ORD015408,ORD015407,100.14,41,SELL
15480,ORD015480,ORD015479,101.32,61,BUY
15530,ORD015530,ORD015522,99.79,61,BUY
15674,ORD015674,ORD015668,100.49,34,SELL
15676,ORD015676,ORD015668,100.49,43,SELL
15866,ORD015866,ORD015864,101.62,19,BUY
15928,ORD015928,ORD015927,99.92,90,BUY
15955,ORD015955,ORD015954,100.21,37,BUY
16008,ORD016008,ORD016007,100.40,41,SELL
16019,ORD016019,ORD016016,99.55,5,BUY
16021,ORD016021,ORD016016,99.55,37,BUY
16021,ORD016021,ORD016017,99.68,29,BUY
16070,ORD016070,ORD016069,100.27,64,BUY
16165,ORD016165,ORD016158,100.06,33,SELL
16200,ORD016200,ORD016199,99.94,78,SELL
16256,ORD016256,ORD016255,99.85,5,BUY
16333,ORD016333,ORD016331,99.69,17,SELL
16360,ORD016360,ORD016354,99.61,32,BUY
16368,ORD016368,ORD016355,101.40,53,BUY
16428,ORD016428,ORD016427,99.91,55,SELL
16514,ORD016514,ORD016513,101.60,48,BUY
16645,ORD016645,ORD016644,99.43,26,SELL
16651,ORD016651,ORD016650,99.42,34,SELL
16703,ORD016703,ORD016702,99.81,2,BUY
16730,ORD016730,ORD016729,100.49,5,SELL
16739,ORD016739,ORD016732,99.85,48,BUY
16818,ORD016818,ORD016815,99.57,47,BUY
17042,ORD017042,ORD017041,100.76,3,BUY
17123,ORD017123,ORD017121,100.06,22,BUY
17260,ORD017260,ORD017259,99.73,63,BUY
17375,ORD017375,ORD017374,101.57,8,BUY
17462,ORD017462,ORD017461,100.03,33,BUY
17463,ORD017463,ORD017461,100.03,6,BUY
17464,ORD017464,ORD017463,100.18,31,SELL
17744,ORD017744,ORD017743,99.81,17,BUY
17753,ORD017753,ORD017752,100.09,55,SELL
17806,ORD017806,ORD017801,99.98,31,BUY
17857,ORD017857,ORD017856,100.07,44,SELL
17857,ORD017857,ORD017855,98.24,1,SELL
17885,ORD017885,ORD017882,100.39,67,SELL
17885,ORD017885,ORD017880,99.86,29,SELL
17961,ORD017961,ORD017959,99.60,81,BUY
18049,ORD018049,ORD018044,100.22,36,SELL
18051,ORD018051,ORD018044,100.22,38,SELL
18054,ORD018054,ORD018048,101.88,77,BUY
18059,ORD018059,ORD018057,100.44,48,BUY
18111,ORD018111,ORD018109,100.37,85,SELL
18116,ORD018116,ORD018111,99.94,4,BUY
18116,ORD018116,ORD018101,100.55,30,BUY
18169,ORD018169,ORD018165,98.43,33,SELL
18176,ORD018176,ORD018175,100.16,64,BUY
18269,ORD018269,ORD018268,98.70,17,SELL
18302,ORD018302,ORD018299,100.38,25,SELL
18321,ORD018321,ORD018319,98.02,7,SELL
18337,ORD018337,ORD018336,100.17,33,SELL
18351,ORD018351,ORD018349,98.56,24,SELL
18355,ORD018355,ORD018354,99.98,6,BUY
18436,ORD018436,ORD018435,101.77,7,BUY
18499,ORD018499,ORD018497,99.39,7,SELL
18499,ORD018499,ORD018498,98.01,54,SELL
18521,ORD018521,ORD018518,101.60,16,BUY
18654,ORD018654,ORD018653,101.18,10,BUY
18659,ORD018659,ORD018658,100.45,46,SELL
18659,ORD018659,ORD018656,100.28,44,SELL
19011,ORD019011,ORD019009,100.05,31,BUY
19138,ORD019138,ORD019137,99.67,10,BUY
19138,ORD019138,ORD019135,101.40,36,BUY
19169,ORD019169,ORD019164,100.46,42,BUY
19169,ORD019169,ORD019158,100.81,38,BUY
19169,ORD019169,ORD019163,101.21,12,BUY
19181,ORD019181,ORD019180,100.05,50,SELL
19249,ORD019249,ORD019247,100.17,61,SELL
19468,ORD019468,ORD019459,101.96,70,BUY
19682,ORD019682,ORD019681,100.05,46,BUY
19827,ORD019827,ORD019826,100.07,87,SELL
19874,ORD019874,ORD019871,98.99,2,SELL
19986,ORD019986,ORD019984,100.08,21,BUY
