sequence,order_id,type,side,price,quantity
108,ORD000108,MARKET,BUY,,10
109,ORD000109,MARKET,BUY,,41
110,ORD000110,MARKET,BUY,,30
111,ORD000111,LIMIT,BUY,98.16,53
112,ORD000112,MARKET,SELL,,27
113,ORD000113,LIMIT,SELL,100.96,90
114,ORD000106,CANCEL,,,
115,ORD000115,MARKET,SELL,,46
116,ORD000116,LIMIT,SELL,101.88,54
117,ORD000117,MARKET,BUY,,35
118,ORD000118,MARKET,BUY,,86
119,ORD000119,LIMIT,SELL,101.6,17
120,ORD000120,LIMIT,BUY,99.48,85
121,ORD000072,CANCEL,,,
122,ORD000122,MARKET,SELL,,34
123,ORD000123,MARKET,BUY,,44
124,ORD000124,MARKET,SELL,,54
125,ORD000125,MARKET,BUY,,96
126,ORD000126,MARKET,SELL,,9
127,ORD000127,LIMIT,BUY,100.37,26
128,ORD000128,MARKET,BUY,,61
129,ORD000129,MARKET,BUY,,33
130,ORD000130,LIMIT,BUY,100.41,92
131,ORD000131,LIMIT,BUY,98.27,4
132,ORD000132,MARKET,SELL,,92
133,ORD000133,MARKET,BUY,,99
134,ORD000134,LIMIT,BUY,99.41,6
135,ORD000135,LIMIT,SELL,99.67,83
136,ORD000136,LIMIT,SELL,99.76,47
137,ORD000137,LIMIT,SELL,100.59,94
138,ORD000138,LIMIT,SELL,101.8,100
139,ORD000139,LIMIT,SELL,100.98,42
140,ORD000140,MARKET,BUY,,58
141,ORD000141,LIMIT,SELL,101.17,44
142,ORD000074,CANCEL,,,
143,ORD000143,MARKET,BUY,,34
144,ORD000144,LIMIT,SELL,100.79,25
145,ORD000145,MARKET,SELL,,98
146,ORD000146,LIMIT,SELL,100.73,3
147,ORD000147,MARKET,BUY,,32
148,ORD000148,MARKET,SELL,,68
149,ORD000149,MARKET,SELL,,59
150,ORD000150,MARKET,SELL,,93
151,ORD000151,LIMIT,BUY,100.38,89
152,ORD000152,LIMIT,BUY,98.69,76
153,ORD000153,LIMIT,SELL,101.58,38
154,ORD000154,MARKET,BUY,,91
155,ORD000155,MARKET,SELL,,7
156,ORD000156,LIMIT,BUY,99.88,14
157,ORD000157,MARKET,SELL,,57
158,ORD000158,MARKET,BUY,,62
159,ORD000159,MARKET,BUY,,10
160,ORD000160,MARKET,BUY,,73
161,ORD000161,LIMIT,BUY,98.3,98
162,ORD000162,LIMIT,BUY,98.95,57
163,ORD000163,MARKET,SELL,,80
164,ORD000164,LIMIT,BUY,98.52,28
165,ORD000165,MARKET,BUY,,23
166,ORD000166,MARKET,BUY,,58
167,ORD000167,MARKET,SELL,,30
168,ORD000168,LIMIT,SELL,100.64,88
169,ORD000169,LIMIT,SELL,101.06,85
170,ORD000170,MARKET,BUY,,70
171,ORD000171,LIMIT,BUY,100.07,10
172,ORD000172,LIMIT,SELL,101.56,37
173,ORD000173,LIMIT,SELL,101.25,35
174,ORD000174,MARKET,SELL,,77
175,ORD000111,CANCEL,,,
176,ORD000176,MARKET,SELL,,30
177,ORD000177,LIMIT,BUY,99.68,35
178,ORD000178,MARKET,BUY,,84
179,ORD000179,MARKET,SELL,,75
180,ORD000180,LIMIT,SELL,100.68,53
181,ORD000181,LIMIT,BUY,98.82,89
182,ORD000182,LIMIT,SELL,100.88,59
183,ORD000183,MARKET,SELL,,99
184,ORD000184,LIMIT,BUY,99.36,53
185,ORD000185,LIMIT,SELL,100.75,57
186,ORD000186,MARKET,BUY,,17
187,ORD000187,LIMIT,SELL,100.71,4
188,ORD000188,LIMIT,BUY,98.78,2
189,ORD000189,MARKET,BUY,,15
190,ORD000190,LIMIT,BUY,98.38,92
191,ORD000191,MARKET,SELL,,62
192,ORD000192,MARKET,BUY,,19
193,ORD000193,LIMIT,BUY,98.69,54
194,ORD000194,LIMIT,SELL,100.21,39
195,ORD000195,LIMIT,SELL,100.62,62
196,ORD000196,MARKET,SELL,,42
197,ORD000197,LIMIT,BUY,98.58,100
198,ORD000198,LIMIT,SELL,101.26,49
199,ORD000199,MARKET,BUY,,5
200,ORD000200,LIMIT,SELL,101.69,57
201,ORD000201,MARKET,SELL,,19
202,ORD000202,MARKET,BUY,,34
203,ORD000203,LIMIT,SELL,101.63,87
204,ORD000204,LIMIT,SELL,101.07,98
205,ORD000205,LIMIT,BUY,98.59,88
206,ORD000206,LIMIT,BUY,99.08,13
207,ORD000207,MARKET,BUY,,89
208,ORD000208,MARKET,BUY,,8
209,ORD000209,MARKET,SELL,,32
210,ORD000210,MARKET,BUY,,11
211,ORD000211,LIMIT,SELL,100.1,75
212,ORD000212,LIMIT,SELL,100.65,86
213,ORD000211,CANCEL,,,
214,ORD000214,LIMIT,SELL,99.89,57
215,ORD000215,LIMIT,SELL,100.56,33
216,ORD000216,MARKET,SELL,,50
217,ORD000217,MARKET,BUY,,74
218,ORD000218,LIMIT,SELL,100.24,85
219,ORD000219,LIMIT,BUY,99.71,96
220,ORD000220,LIMIT,SELL,101.76,100
221,ORD000221,MARKET,SELL,,25
222,ORD000222,LIMIT,BUY,100.26,83
223,ORD000205,CANCEL,,,
224,ORD000224,LIMIT,SELL,99.73,38
225,ORD000225,MARKET,SELL,,17
226,ORD000226,LIMIT,SELL,101.78,22
227,ORD000227,LIMIT,SELL,100.24,44
228,ORD000228,LIMIT,SELL,99.85,29
229,ORD000229,LIMIT,SELL,101.51,47
230,ORD000230,MARKET,SELL,,69
231,ORD000231,LIMIT,SELL,101.18,75
232,ORD000232,MARKET,SELL,,30
233,ORD000233,LIMIT,SELL,100.05,9
234,ORD000234,LIMIT,SELL,100.26,53
235,ORD000235,LIMIT,BUY,98.76,64
236,ORD000236,LIMIT,BUY,98.34,59
237,ORD000237,LIMIT,SELL,101.32,54
238,ORD000238,LIMIT,SELL,101.85,36
239,ORD000090,CANCEL,,,
240,ORD000240,LIMIT,SELL,101.64,13
241,ORD000241,LIMIT,SELL,101.94,46
242,ORD000242,MARKET,SELL,,16
243,ORD000243,MARKET,SELL,,28
244,ORD000244,MARKET,BUY,,43
245,ORD000245,LIMIT,BUY,98.51,98
246,ORD000246,LIMIT,BUY,98.58,100
247,ORD000247,MARKET,BUY,,19
248,ORD000248,LIMIT,SELL,99.77,4
249,ORD000249,LIMIT,SELL,100.09,42
250,ORD000058,CANCEL,,,
251,ORD000251,LIMIT,SELL,101.36,61
252,ORD000252,LIMIT,SELL,99.77,65
253,ORD000253,LIMIT,BUY,100.27,85
254,ORD000254,LIMIT,SELL,99.58,62
255,ORD000255,LIMIT,SELL,100.73,57
256,ORD000256,MARKET,BUY,,19
257,ORD000257,LIMIT,SELL,100.96,92
258,ORD000258,MARKET,SELL,,78
259,ORD000259,LIMIT,BUY,99.63,99
260,ORD000260,MARKET,BUY,,30
261,ORD000261,MARKET,SELL,,94
262,ORD000262,MARKET,SELL,,33
263,ORD000263,LIMIT,BUY,99.19,12
264,ORD000264,MARKET,BUY,,96
265,ORD000265,LIMIT,BUY,99.47,72
266,ORD000266,MARKET,BUY,,86
267,ORD000267,LIMIT,SELL,101.3,37
268,ORD000268,MARKET,SELL,,65
269,ORD000269,MARKET,SELL,,14
270,ORD000270,MARKET,SELL,,36
271,ORD000271,LIMIT,SELL,101.94,80
272,ORD000272,LIMIT,BUY,99.64,89
273,ORD000273,MARKET,BUY,,98
274,ORD000274,MARKET,SELL,,24
275,ORD000275,MARKET,SELL,,95
276,ORD000276,MARKET,BUY,,68
277,ORD000277,MARKET,SELL,,21
278,ORD000278,LIMIT,SELL,100.92,11
279,ORD000279,MARKET,BUY,,80
280,ORD000029,CANCEL,,,
281,ORD000281,MARKET,SELL,,57
282,ORD000282,LIMIT,BUY,98.28,56
283,ORD000283,LIMIT,SELL,100.27,29
284,ORD000284,MARKET,BUY,,39
285,ORD000285,LIMIT,BUY,98.72,16
286,ORD000233,CANCEL,,,
287,ORD000287,LIMIT,SELL,100.08,72
288,ORD000288,MARKET,SELL,,95
289,ORD000008,CANCEL,,,
290,ORD000290,LIMIT,BUY,99.44,74
291,ORD000291,MARKET,SELL,,52
292,ORD000184,CANCEL,,,
293,ORD000293,LIMIT,SELL,101.8,12
294,ORD000294,MARKET,BUY,,76
295,ORD000295,MARKET,BUY,,40
296,ORD000296,MARKET,BUY,,22
297,ORD000297,LIMIT,BUY,98.48,100
298,ORD000298,MARKET,BUY,,19
299,ORD000299,LIMIT,BUY,99.9,84
300,ORD000300,MARKET,SELL,,73
301,ORD000301,LIMIT,SELL,101.71,83
302,ORD000302,LIMIT,SELL,101.07,20
303,ORD000303,MARKET,SELL,,39
304,ORD000304,MARKET,BUY,,10
305,ORD000305,MARKET,SELL,,48
306,ORD000306,LIMIT,BUY,100.44,12
307,ORD000307,MARKET,SELL,,71
308,ORD000308,MARKET,BUY,,74
309,ORD000309,LIMIT,SELL,100.75,8
310,ORD000310,LIMIT,SELL,99.71,83
311,ORD000311,LIMIT,BUY,100.48,68
312,ORD000312,MARKET,BUY,,37
313,ORD000313,LIMIT,SELL,99.63,81
314,ORD000314,MARKET,BUY,,72
315,ORD000315,MARKET,SELL,,85
316,ORD000316,MARKET,BUY,,75
317,ORD000317,MARKET,SELL,,84
318,ORD000318,MARKET,SELL,,91
319,ORD000319,LIMIT,SELL,101.11,43
320,ORD000320,LIMIT,BUY,99.06,47
321,ORD000177,CANCEL,,,
322,ORD000322,MARKET,BUY,,99
323,ORD000323,LIMIT,BUY,98.39,38
324,ORD000324,LIMIT,BUY,99.35,95
325,ORD000325,LIMIT,BUY,100.19,80
326,ORD000326,MARKET,SELL,,24
327,ORD000327,LIMIT,BUY,98.11,47
328,ORD000328,LIMIT,BUY,99.53,97
329,ORD000329,MARKET,SELL,,31
330,ORD000330,LIMIT,SELL,99.99,87
331,ORD000331,MARKET,SELL,,37
332,ORD000332,LIMIT,SELL,101.54,78
333,ORD000333,MARKET,SELL,,62
334,ORD000334,LIMIT,BUY,99.29,16
335,ORD000335,MARKET,BUY,,66
336,ORD000336,MARKET,SELL,,29
337,ORD000337,LIMIT,SELL,100.54,51
338,ORD000338,MARKET,BUY,,11
339,ORD000339,MARKET,BUY,,13
340,ORD000340,LIMIT,SELL,99.84,37
341,ORD000341,LIMIT,SELL,99.85,91
342,ORD000342,LIMIT,BUY,98.05,28
343,ORD000343,MARKET,SELL,,37
344,ORD000344,MARKET,BUY,,54
345,ORD000345,MARKET,SELL,,64
346,ORD000346,LIMIT,BUY,99.44,92
347,ORD000347,MARKET,SELL,,46
348,ORD000348,MARKET,SELL,,86
349,ORD000349,MARKET,SELL,,68
350,ORD000350,MARKET,BUY,,61
351,ORD000219,CANCEL,,,
352,ORD000352,LIMIT,SELL,100.39,9
353,ORD000353,LIMIT,BUY,99.84,43
354,ORD000354,LIMIT,SELL,101.53,23
355,ORD000355,LIMIT,SELL,100.7,24
356,ORD000356,LIMIT,BUY,100.36,5
357,ORD000357,LIMIT,BUY,100.21,41
358,ORD000358,LIMIT,SELL,100.86,33
359,ORD000104,CANCEL,,,
360,ORD000360,LIMIT,BUY,98.83,16
361,ORD000361,LIMIT,SELL,101.36,50
362,ORD000362,MARKET,BUY,,64
363,ORD000363,LIMIT,SELL,101.32,11
364,ORD000364,LIMIT,BUY,98.8,11
365,ORD000365,MARKET,SELL,,78
366,ORD000366,LIMIT,BUY,98.88,6
367,ORD000367,LIMIT,SELL,100.59,82
368,ORD000368,MARKET,BUY,,82
369,ORD000369,LIMIT,BUY,98.36,78
370,ORD000370,MARKET,SELL,,9
371,ORD000371,MARKET,SELL,,73
372,ORD000076,CANCEL,,,
373,ORD000373,MARKET,SELL,,98
374,ORD000374,LIMIT,BUY,99.0,84
375,ORD000375,MARKET,BUY,,24
376,ORD000376,LIMIT,SELL,99.79,100
377,ORD000377,MARKET,SELL,,79
378,ORD000378,MARKET,SELL,,18
379,ORD000379,MARKET,SELL,,92
380,ORD000380,LIMIT,BUY,100.42,41
381,ORD000381,LIMIT,BUY,98.73,39
382,ORD000382,LIMIT,BUY,99.27,16
383,ORD000383,MARKET,BUY,,64
384,ORD000319,CANCEL,,,
385,ORD000385,LIMIT,SELL,100.88,79
386,ORD000386,MARKET,BUY,,92
387,ORD000387,LIMIT,SELL,101.56,10
388,ORD000388,LIMIT,SELL,100.62,88
389,ORD000389,LIMIT,BUY,99.95,82
390,ORD000390,MARKET,BUY,,8
391,ORD000391,MARKET,BUY,,21
392,ORD000392,MARKET,BUY,,67
393,ORD000393,MARKET,BUY,,82
394,ORD000394,MARKET,SELL,,39
395,ORD000395,LIMIT,BUY,98.42,75
396,ORD000396,LIMIT,SELL,100.91,4
397,ORD000397,LIMIT,SELL,101.42,54
398,ORD000398,MARKET,BUY,,81
399,ORD000399,MARKET,SELL,,88
400,ORD000400,MARKET,SELL,,8
401,ORD000401,MARKET,SELL,,27
402,ORD000402,MARKET,BUY,,92
403,ORD000403,LIMIT,SELL,99.83,48
404,ORD000404,MARKET,BUY,,60
405,ORD000405,MARKET,SELL,,13
406,ORD000406,LIMIT,SELL,100.55,21
407,ORD000407,MARKET,SELL,,21
408,ORD000408,MARKET,SELL,,40
409,ORD000409,LIMIT,BUY,99.26,31
410,ORD000410,MARKET,SELL,,37
411,ORD000411,MARKET,SELL,,2
412,ORD000412,MARKET,SELL,,34
413,ORD000413,MARKET,SELL,,52
414,ORD000414,MARKET,BUY,,37
415,ORD000415,LIMIT,SELL,100.2,80
416,ORD000416,MARKET,BUY,,13
417,ORD000417,LIMIT,SELL,100.41,19
418,ORD000418,LIMIT,SELL,99.61,18
419,ORD000419,LIMIT,SELL,99.87,66
420,ORD000420,MARKET,SELL,,79
421,ORD000421,LIMIT,SELL,100.77,66
422,ORD000422,MARKET,SELL,,3
423,ORD000423,LIMIT,BUY,99.46,93
424,ORD000424,LIMIT,BUY,98.66,84
425,ORD000425,LIMIT,BUY,99.46,22
426,ORD000426,MARKET,SELL,,88
427,ORD000427,MARKET,BUY,,57
428,ORD000428,MARKET,BUY,,27
429,ORD000429,LIMIT,SELL,101.34,8
430,ORD000430,LIMIT,BUY,100.5,62
431,ORD000431,LIMIT,SELL,100.65,69
432,ORD000432,LIMIT,SELL,101.67,88
433,ORD000433,LIMIT,SELL,99.98,32
434,ORD000434,MARKET,SELL,,39
435,ORD000435,LIMIT,BUY,99.22,62
436,ORD000436,MARKET,SELL,,74
437,ORD000437,LIMIT,SELL,100.49,45
438,ORD000438,MARKET,BUY,,37
439,ORD000439,MARKET,BUY,,57
440,ORD000440,MARKET,SELL,,69
441,ORD000441,MARKET,SELL,,79
442,ORD000442,MARKET,BUY,,86
443,ORD000443,LIMIT,BUY,98.13,53
444,ORD000444,MARKET,SELL,,99
445,ORD000445,MARKET,BUY,,61
446,ORD000446,LIMIT,BUY,98.72,37
447,ORD000447,LIMIT,BUY,98.58,95
448,ORD000448,LIMIT,BUY,98.44,23
449,ORD000449,LIMIT,BUY,98.99,64
450,ORD000450,LIMIT,SELL,99.52,73
451,ORD000451,MARKET,SELL,,83
452,ORD000452,LIMIT,SELL,99.84,65
453,ORD000453,LIMIT,BUY,98.83,94
454,ORD000454,LIMIT,SELL,99.54,44
455,ORD000455,MARKET,BUY,,82
456,ORD000456,LIMIT,SELL,99.72,86
457,ORD000457,MARKET,BUY,,32
458,ORD000224,CANCEL,,,
459,ORD000459,LIMIT,SELL,100.25,93
460,ORD000460,LIMIT,SELL,101.23,8
461,ORD000461,MARKET,SELL,,52
462,ORD000462,LIMIT,SELL,101.1,38
463,ORD000463,MARKET,BUY,,18
464,ORD000464,LIMIT,SELL,101.01,54
465,ORD000465,LIMIT,SELL,101.5,28
466,ORD000466,LIMIT,BUY,99.32,47
467,ORD000467,MARKET,BUY,,71
468,ORD000468,LIMIT,BUY,98.37,42
469,ORD000469,MARKET,SELL,,27
470,ORD000470,MARKET,SELL,,66
471,ORD000471,MARKET,BUY,,66
472,ORD000472,LIMIT,BUY,99.68,40
473,ORD000473,MARKET,SELL,,1
474,ORD000474,MARKET,BUY,,45
475,ORD000475,LIMIT,BUY,98.17,61
476,ORD000235,CANCEL,,,
477,ORD000477,LIMIT,BUY,100.45,83
478,ORD000478,LIMIT,SELL,100.46,49
479,ORD000479,LIMIT,BUY,98.87,23
480,ORD000480,LIMIT,SELL,101.32,29
481,ORD000481,LIMIT,BUY,99.16,93
482,ORD000482,LIMIT,SELL,100.12,45
483,ORD000483,LIMIT,BUY,99.81,15
484,ORD000382,CANCEL,,,
485,ORD000485,MARKET,BUY,,9
486,ORD000486,MARKET,BUY,,87
487,ORD000487,MARKET,BUY,,6
488,ORD000488,LIMIT,BUY,99.89,100
489,ORD000489,MARKET,SELL,,94
490,ORD000490,MARKET,SELL,,19
491,ORD000491,MARKET,BUY,,36
492,ORD000492,LIMIT,BUY,99.07,64
493,ORD000198,CANCEL,,,
494,ORD000494,LIMIT,SELL,100.3,54
495,ORD000495,MARKET,SELL,,97
496,ORD000496,LIMIT,BUY,98.75,91
497,ORD000497,LIMIT,SELL,100.91,54
498,ORD000498,MARKET,BUY,,33
499,ORD000499,LIMIT,BUY,100.12,12
500,ORD000500,MARKET,BUY,,49
501,ORD000501,LIMIT,BUY,98.47,98
502,ORD000502,MARKET,BUY,,43
503,ORD000503,MARKET,BUY,,25
504,ORD000504,LIMIT,BUY,99.89,32
505,ORD000505,MARKET,BUY,,31
506,ORD000506,MARKET,SELL,,69
507,ORD000507,MARKET,SELL,,66
508,ORD000508,MARKET,SELL,,93
509,ORD000509,LIMIT,SELL,100.43,53
510,ORD000496,CANCEL,,,
511,ORD000511,MARKET,BUY,,71
512,ORD000512,MARKET,SELL,,26
513,ORD000513,LIMIT,SELL,100.11,71
514,ORD000514,MARKET,SELL,,63
515,ORD000515,MARKET,SELL,,94
516,ORD000516,MARKET,BUY,,70
517,ORD000517,LIMIT,BUY,100.1,10
518,ORD000518,LIMIT,BUY,99.03,81
519,ORD000519,MARKET,BUY,,65
520,ORD000520,LIMIT,BUY,99.67,79
521,ORD000521,MARKET,SELL,,69
522,ORD000522,MARKET,BUY,,93
523,ORD000523,MARKET,SELL,,90
524,ORD000524,MARKET,BUY,,13
525,ORD000525,MARKET,BUY,,68
526,ORD000526,MARKET,SELL,,51
527,ORD000527,MARKET,SELL,,32
528,ORD000528,MARKET,BUY,,11
529,ORD000529,MARKET,BUY,,49
530,ORD000530,MARKET,SELL,,2
531,ORD000531,MARKET,BUY,,56
532,ORD000532,LIMIT,SELL,101.64,13
533,ORD000533,MARKET,BUY,,89
534,ORD000534,MARKET,SELL,,10
535,ORD000535,LIMIT,SELL,100.91,5
536,ORD000536,MARKET,SELL,,27
537,ORD000537,LIMIT,SELL,100.25,73
538,ORD000538,LIMIT,SELL,100.85,50
539,ORD000539,LIMIT,BUY,99.72,11
540,ORD000540,MARKET,SELL,,56
541,ORD000541,MARKET,BUY,,99
542,ORD000542,LIMIT,SELL,100.32,82
543,ORD000543,MARKET,SELL,,46
544,ORD000544,MARKET,SELL,,88
545,ORD000545,MARKET,SELL,,80
546,ORD000546,LIMIT,BUY,98.21,20
547,ORD000547,LIMIT,BUY,98.79,14
548,ORD000548,MARKET,SELL,,98
549,ORD000549,MARKET,BUY,,56
550,ORD000550,MARKET,SELL,,12
551,ORD000551,LIMIT,BUY,99.96,50
552,ORD000238,CANCEL,,,
553,ORD000553,LIMIT,BUY,99.4,32
554,ORD000554,LIMIT,BUY,98.42,35
555,ORD000555,MARKET,SELL,,22
556,ORD000556,MARKET,SELL,,10
557,ORD000557,LIMIT,BUY,99.24,79
558,ORD000558,MARKET,BUY,,1
559,ORD000559,LIMIT,SELL,100.45,43
560,ORD000560,LIMIT,SELL,101.65,77
561,ORD000561,LIMIT,SELL,101.24,62
562,ORD000562,LIMIT,SELL,100.23,89
563,ORD000563,MARKET,BUY,,36
564,ORD000564,MARKET,SELL,,73
565,ORD000565,LIMIT,BUY,99.38,94
566,ORD000566,MARKET,BUY,,38
567,ORD000567,LIMIT,BUY,99.99,53
568,ORD000568,LIMIT,BUY,98.61,85
569,ORD000569,LIMIT,SELL,99.68,77
570,ORD000570,LIMIT,SELL,101.81,89
571,ORD000571,LIMIT,BUY,98.9,69
572,ORD000572,MARKET,BUY,,32
573,ORD000573,MARKET,SELL,,79
574,ORD000376,CANCEL,,,
575,ORD000575,LIMIT,SELL,100.33,56
576,ORD000576,MARKET,BUY,,66
577,ORD000577,MARKET,BUY,,51
578,ORD000578,MARKET,BUY,,4
579,ORD000579,MARKET,SELL,,11
580,ORD000580,MARKET,BUY,,44
581,ORD000581,LIMIT,BUY,98.87,13
582,ORD000582,MARKET,SELL,,39
583,ORD000423,CANCEL,,,
584,ORD000584,LIMIT,SELL,101.19,22
585,ORD000585,LIMIT,BUY,99.38,43
586,ORD000586,MARKET,SELL,,52
587,ORD000587,LIMIT,BUY,99.08,4
588,ORD000588,MARKET,BUY,,55
589,ORD000589,MARKET,BUY,,97
590,ORD000590,LIMIT,BUY,100.0,69
591,ORD000591,MARKET,SELL,,15
592,ORD000592,LIMIT,SELL,101.1,77
593,ORD000593,LIMIT,SELL,100.37,59
594,ORD000594,LIMIT,SELL,100.98,87
595,ORD000595,MARKET,BUY,,15
596,ORD000596,LIMIT,BUY,99.05,18
597,ORD000597,MARKET,SELL,,82
598,ORD000598,LIMIT,BUY,99.22,18
599,ORD000599,LIMIT,SELL,101.66,2
600,ORD000600,LIMIT,BUY,100.41,65
601,ORD000601,LIMIT,SELL,100.54,57
602,ORD000602,LIMIT,BUY,99.99,29
603,ORD000603,MARKET,SELL,,37
604,ORD000604,LIMIT,SELL,101.43,64
605,ORD000605,LIMIT,BUY,98.67,70
606,ORD000606,LIMIT,SELL,101.39,98
607,ORD000607,LIMIT,BUY,98.26,84
608,ORD000608,LIMIT,SELL,99.58,34
609,ORD000609,MARKET,BUY,,16
610,ORD000610,MARKET,BUY,,95
611,ORD000611,LIMIT,SELL,101.03,55
612,ORD000612,LIMIT,BUY,100.03,8
613,ORD000613,LIMIT,SELL,99.92,91
614,ORD000614,LIMIT,SELL,100.79,87
615,ORD000615,LIMIT,BUY,99.96,8
616,ORD000616,LIMIT,BUY,98.33,19
617,ORD000617,LIMIT,BUY,99.69,63
618,ORD000618,LIMIT,SELL,100.44,10
619,ORD000619,MARKET,BUY,,96
620,ORD000620,MARKET,SELL,,63
621,ORD000621,LIMIT,BUY,100.12,12
622,ORD000622,LIMIT,SELL,101.24,9
623,ORD000623,MARKET,SELL,,55
624,ORD000624,MARKET,SELL,,37
625,ORD000625,LIMIT,BUY,99.21,44
626,ORD000626,MARKET,BUY,,81
627,ORD000627,MARKET,SELL,,21
628,ORD000628,LIMIT,BUY,99.07,89
629,ORD000629,MARKET,SELL,,36
630,ORD000630,MARKET,SELL,,48
631,ORD000631,MARKET,BUY,,81
632,ORD000632,MARKET,BUY,,12
633,ORD000633,MARKET,BUY,,10
634,ORD000634,LIMIT,BUY,99.11,2
635,ORD000635,LIMIT,BUY,99.06,17
636,ORD000636,MARKET,BUY,,94
637,ORD000637,MARKET,BUY,,39
638,ORD000638,LIMIT,BUY,99.69,9
